id,rating,genre,year,director,star,company,runtime
446894,PG,Animation,2018,Karey Kirkpatrick,Channing Tatum,Warner Animation Group,96.0
429476,R,Horror,2018,Gregory Plotkin,Cynthea Mercado,CBS Films,89.0
475132,R,Biography,2018,Matthew Heineman,Rosamund Pike,Acacia Filmed Entertainment,110.0
503616,PG-13,Comedy,2018,Peter Segal,Jennifer Lopez,Huayi Brothers,103.0
474335,PG-13,Comedy,2018,Charles Stone III,Kyrie Irving,Summit Entertainment,103.0
482981,R,Comedy,2018,Tom Harper,Jessie Buckley,BFI Film Fund,101.0
434555,R,Horror,2018,Diederik Van Rooijen,Shay Mitchell,Screen Gems,86.0
465914,R,Drama,2018,Barry Jenkins,KiKi Layne,Annapurna Pictures,119.0
477016,Unrated,Crime,2018,Carol Morley,Mamie Gummer,Cannon and Morley Productions,109.0
360920,PG,Animation,2018,Yarrow Cheney,Benedict Cumberbatch,Universal Pictures,85.0
454652,R,Biography,2018,Wash Westmoreland,Keira Knightley,Number 9 Films,111.0
